1519880238 0 0 0 0 0 84 0 0 0 0 0 0 0
1519880472 0 0 0 0 0 97 0 0 0 0 0 0 0
1519881057 0 0 0 0 0 97 8 0 0 0 0 0 0
1519881083 0 0 0 0 0 97 8 0 0 0 0 0 0
1519881110 0 0 0 0 0 97 8 0 0 0 0 0 0
1519881696 0 0 0 0 15 97 8 0 0 0 0 0 0
1519882195 0 3 0 0 15 97 8 0 0 0 0 0 0
1519882286 0 3 0 0 15 97 9 0 0 0 0 0 0
1519882295 0 3 0 0 15 97 9 0 0 0 0 0 0
1519882339 0 3 0 0 15 97 9 0 0 0 0 0 0
1519883730 0 3 104 0 15 97 9 0 0 0 0 0 0
1519884176 0 43 104 0 15 97 9 0 0 0 0 0 0
1519886638 0 73 104 0 15 97 9 0 0 0 0 0 0
1519887488 0 73 104 0 15 97 9 0 29 0 0 0 0
1519887579 0 81 104 0 15 97 9 0 29 0 0 0 0
1519890552 0 95 104 0 15 97 9 0 29 0 0 0 0
1519890913 0 95 104 0 24 97 9 0 29 0 0 0 0
1519891407 0 95 104 0 25 97 9 0 29 0 0 0 0
1519891429 0 95 313 0 25 97 9 0 29 0 0 0 0
1519891488 0 95 313 0 25 97 9 0 29 0 0 0 0
1519891502 0 95 313 0 25 97 9 0 29 0 0 0 0
1519891569 0 95 313 0 25 97 9 0 29 0 0 0 0
1519891644 0 95 313 0 25 97 9 0 29 0 0 0 0
1519891678 0 95 313 0 25 97 9 0 29 0 0 0 0
1519891694 0 95 313 0 25 97 9 0 29 0 0 0 0
1519891728 0 95 313 0 25 97 9 0 29 0 0 0 0
1519891974 0 95 313 0 25 97 9 1 29 0 0 0 0
1519893079 0 95 313 0 25 97 9 2 29 0 0 0 0
1519893229 0 1018 313 0 25 97 9 2 29 0 0 0 0
1519894521 0 1018 313 0 25 97 9 2 30 0 0 0 0
1519894918 0 1018 373 0 25 97 9 2 30 0 0 0 0
1519895026 0 1018 373 0 25 97 9 2 30 0 0 0 0
1519895107 0 1018 373 0 25 97 9 2 30 0 0 0 0
1519895165 0 1018 373 0 25 97 9 2 30 0 0 0 0
1519896033 0 1018 373 0 25 97 11 2 30 0 0 0 0
1519896065 0 1018 373 0 25 97 11 2 30 0 0 0 0
1519896203 0 1018 392 0 25 97 11 2 30 0 0 0 0
1519900924 0 1018 392 0 26 97 11 2 30 0 0 0 0
1519902691 0 1018 456 0 26 97 11 2 30 0 0 0 0
1519905535 0 1018 483 0 26 97 11 2 30 0 0 0 0
1519906788 0 1018 483 0 26 97 11 2 30 0 0 0 0
1519906818 0 1018 483 0 26 97 11 2 30 0 0 0 0
1519906827 0 1018 483 0 26 97 11 2 30 0 0 0 0
1519906831 0 1018 483 0 26 97 11 2 30 0 0 0 0
1519954561 0 1018 483 0 26 97 11 2 30 0 0 0 0
1519954567 0 1018 483 0 26 97 11 2 30 0 0 0 0
1519955207 0 1347 483 0 26 97 11 2 30 0 0 0 0
1519956242 0 1348 483 0 26 97 11 2 30 0 0 0 0
1519957089 0 1348 483 0 26 97 11 2 30 1 0 0 0
1519957695 0 1349 483 0 26 97 11 2 30 1 0 0 0
1519957838 0 1349 483 0 26 97 11 2 30 1 0 0 0
1519958535 0 1349 483 0 30 97 11 2 30 1 0 0 0
1519958669 0 1349 485 0 30 97 11 2 30 1 0 0 0
1519958995 0 1349 485 0 30 97 11 2 30 1 0 0 0
1519959003 0 1349 485 0 30 97 11 2 30 1 0 0 0
1519959348 0 1349 493 0 30 97 11 2 30 1 0 0 0
1519961127 0 1349 493 0 30 97 11 7 30 1 0 0 0
1519961599 0 1349 527 0 30 97 11 7 30 1 0 0 0
1519961646 0 1349 527 0 30 97 11 7 30 1 0 0 0
1519961661 0 1349 527 0 30 97 11 7 30 1 0 0 0
1519967904 0 1352 527 0 30 97 11 7 30 1 0 0 0
1519970003 0 1352 537 0 30 97 11 7 30 1 0 0 0
1519970202 0 1386 537 0 30 97 11 7 30 1 0 0 0
1519971044 0 1399 537 0 30 97 11 7 30 1 0 0 0
1519972541 0 1399 565 0 30 97 11 7 30 1 0 0 5
1519973051 0 1399 576 0 30 97 11 7 30 1 0 0 5
1519973116 0 1399 576 0 30 97 11 7 30 1 0 0 5
1519973126 0 1399 576 0 30 97 11 7 30 1 0 0 5
1519973143 0 1399 576 0 30 97 11 7 30 1 0 0 5
1519973164 0 1399 576 0 30 97 11 7 30 1 0 0 5
1519973180 0 1399 576 0 30 97 11 7 30 1 0 0 5
1519973198 0 1399 576 0 30 97 11 7 30 1 0 0 5
1519973209 0 1399 576 0 30 97 11 7 30 1 0 0 5
1519974648 0 1399 576 0 34 97 11 7 30 1 0 0 5
1519976124 0 1399 576 0 36 97 11 7 30 1 0 0 5
1519976234 0 1399 576 0 36 97 11 7 33 1 0 0 5
1519976676 0 1399 576 0 37 97 11 7 33 1 0 0 5
1519977674 0 1399 576 0 45 97 11 7 33 1 0 0 5
1519978244 0 1399 584 0 45 97 11 7 33 1 0 0 5
1519979203 0 1404 584 0 45 97 11 7 33 1 0 0 5
1519979552 0 1404 584 0 48 97 11 7 33 1 0 0 5
1519979599 0 1404 584 0 48 97 11 7 33 1 0 0 5
1519979600 0 1404 584 0 48 97 11 14 33 1 0 0 5
1519979612 0 1404 584 0 48 97 11 14 33 1 0 0 5
1519979637 0 1404 584 0 48 97 11 14 33 1 0 0 5
1519979647 0 1404 584 0 48 97 11 14 33 1 0 0 5
1519979655 0 1404 584 0 48 97 11 14 33 1 0 0 5
1519979665 0 1404 584 0 48 97 11 14 33 1 0 0 5
